severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Low,Review unwanted AI crawlers with AI Labyrinth,studiosunandsea.com,Configuration suggestion,2026-06-04T14:40:00.952724Z,Active,,,,"Enable AI Labyrinth. "
Low,Security.txt not configured,studiosunandsea.com,Configuration suggestion,2026-06-19T08:59:30.363295Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Low,Security.txt not configured,studiosonneundmeer.eu,Configuration suggestion,2026-06-24T01:18:37.025535Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Bot Fight Mode not enabled,studiosonneundmeer.eu,Configuration suggestion,2026-06-24T08:47:18.434635Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Review unwanted AI crawlers with AI Labyrinth,studiosonneundmeer.eu,Configuration suggestion,2026-06-23T16:57:55.899874Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Bot Fight Mode not enabled,sunceimore.eu,Configuration suggestion,2026-06-24T03:40:16.513464Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Security.txt not configured,sunceimore.eu,Configuration suggestion,2026-06-24T01:18:38.335342Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Low,Review unwanted AI crawlers with AI Labyrinth,sunceimore.eu,Configuration suggestion,2026-06-23T17:06:02.018095Z,Active,,,,"Enable AI Labyrinth. "
Low,Security.txt not configured,studiosunceimore.eu,Configuration suggestion,2026-06-24T01:18:36.989991Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Bot Fight Mode not enabled,studiosunceimore.eu,Configuration suggestion,2026-06-24T07:47:51.468984Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Review unwanted AI crawlers with AI Labyrinth,studiosunceimore.eu,Configuration suggestion,2026-06-23T17:07:18.422456Z,Active,,,,"Enable AI Labyrinth. "
Low,Security.txt not configured,studiosunandsea.eu,Configuration suggestion,2026-06-24T01:18:39.221149Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Low,Review unwanted AI crawlers with AI Labyrinth,studiosunandsea.eu,Configuration suggestion,2026-06-23T17:09:02.957368Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Bot Fight Mode not enabled,studiosunandsea.eu,Configuration suggestion,2026-06-24T05:41:12.052035Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Review unwanted AI crawlers with AI Labyrinth,studiosunandsea.de,Configuration suggestion,2026-06-24T02:42:25.69974Z,Active,,,,"Enable AI Labyrinth. "
Low,Review unwanted AI crawlers with AI Labyrinth,studiosonneundmeer.de,Configuration suggestion,2026-06-24T02:45:06.791892Z,Active,,,,"Enable AI Labyrinth. "
